Date,Close,Lower Bound,Upper Bound,Middle Bound,sellSignal,buySignal
2018-03-02,1.547771242782248,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-05,1.5531292324602761,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-06,1.5518116741333892,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-07,1.537406449421748,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-08,1.5541832274007257,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-09,1.580885562099171,1.3572532860640893,1.5720141251640904,1.46463370561409,0,1
2018-03-12,1.596169108496667,1.3738545245498333,1.580885562099171,1.4773700433245023,0,1
2018-03-13,1.580797654132481,1.429191653251814,1.596169108496667,1.5126803808742406,0,0
2018-03-14,1.5673586590733848,1.4435089789141888,1.596169108496667,1.5198390437054279,0,0
2018-03-15,1.5692032104117846,1.470123414563368,1.596169108496667,1.5331462615300175,0,0
2018-03-16,1.5636695563965852,1.5026231093422349,1.596169108496667,1.549396108919451,0,0
2018-03-19,1.5397781364504464,1.5026231093422349,1.596169108496667,1.549396108919451,0,0
2018-03-20,1.5392510007601479,1.5026231093422349,1.596169108496667,1.549396108919451,0,0
2018-03-21,1.5043797616313683,1.5026231093422349,1.596169108496667,1.549396108919451,0,0
2018-03-22,1.4831233156602175,1.5043797616313683,1.596169108496667,1.5502744350640176,1,0
2018-03-23,1.4487790695429508,1.4831233156602175,1.596169108496667,1.5396462120784422,1,0
